"Employee_ID","Org_Name","Country","Org_Level","Start_Date","End_Date","Org_Ref_ID"
"120101","Patrick Lu","AU","1","01JUL1999","31DEC9999","11010101"
"120102","Tom Zhou","AU","1","01JUN1985","31DEC9999","11010101"
"120103","Wilson Dawes","AU","1","01JAN1970","31DEC9999","11010101"
"120104","Kareen Billington","AU","1","01JAN1977","31DEC9999","12010101"
"120105","Liz Povey","AU","1","01MAY1995","31DEC9999","12010101"
"120106","John Hornsey","AU","1","01JAN1970","31DEC9999","12010101"
"120107","Sherie Sheedy","AU","1","01FEB1970","31DEC9999","12010102"
"120108","Gladys Gromek","AU","1","01AUG2002","31DEC9999","12010201"
"120109","Gabriele Baker","AU","1","01OCT2002","31DEC9999","12010201"
"120110","Dennis Entwisle","AU","1","01NOV1975","31DEC9999","12010201"
"120111","Ubaldo Spillane","AU","1","01NOV1970","31DEC9999","12010301"
"120112","Ellis Glattback","AU","1","01JUL1986","31DEC9999","12010301"
"120113","Riu Horsey","AU","1","01JAN1970","31DEC9999","12010301"
"120114","Jeannette Buddery","AU","1","01JAN1970","31DEC9999","12010301"
"120115","Hugh Nichollas","AU","1","01AUG2001","31DEC9999","12010401"
"120116","Austen Ralston","AU","1","01FEB1976","31DEC9999","12010401"
"120117","Bill Mccleary","AU","1","01APR1982","31DEC9999","12020101"
"120118","Darshi Hartshorn","AU","1","01JUL1980","31DEC9999","12020101"
"120119","Lal Elleman","AU","1","01JAN1994","31DEC9999","12020102"
"120120","Krishna Peiris","AU","1","01JAN1970","31DEC9999","12020102"
"120121","Irenie Elvish","AU","1","01JAN1970","31DEC9999","12030110"
"120122","Christina Ngan","AU","1","01JUL1974","31DEC9999","12030110"
"120123","Kimiko Hotstone","AU","1","01OCT1981","31JAN2001","12030110"
"120124","Lucian Daymond","AU","1","01MAR1975","31DEC9999","12030110"
"120125","Fong Hofmeister","AU","1","01MAR1975","31JUL2000","12030114"
"120126","Satyakam Denny","AU","1","01AUG2002","31DEC9999","12030114"
"120127","Sharryn Clarkson","AU","1","01NOV1994","31DEC9999","12030104"
"120128","Monica Kletschkus","AU","1","01NOV2002","31DEC9999","12030104"
"120129","Alvin Roebuck","AU","1","01OCT1981","31MAR1999","12030104"
"120130","Kevin Lyon","AU","1","01MAY2002","31DEC9999","12030104"
"120131","Marinus Surawski","AU","1","01JAN1999","31DEC9999","12030102"
"120132","Fancine Kaiser","AU","1","01OCT1974","31DEC9999","12030102"
"120133","Petrea Soltau","AU","1","01OCT2002","31DEC9999","12030102"
"120134","Sian Shannan","AU","1","01JAN1970","30JUN2002","12030102"
"120135","Alexei Platts","AU","1","01OCT1993","30APR2000","12030107"
"120136","Atul Leyden","AU","1","01FEB1999","31DEC9999","12030107"
"120137","Marina Iyengar","AU","1","01MAR2002","31DEC9999","12030106"
"120138","Shani Duckett","AU","1","01JUL2002","31DEC9999","12030106"
"120139","Fang Wilson","AU","1","01SEP2002","31DEC9999","12030106"
"120140","Michael Minas","AU","1","01OCT2002","31DEC9999","12030109"
"120141","Amanda Liebman","AU","1","01MAY2002","31DEC9999","12030109"
"120142","Vincent Eastley","AU","1","01JUL2002","31DEC9999","12030109"
"120143","Phu Sloey","AU","1","01OCT1978","31DEC9999","12030109"
"120144","Viney Barbis","AU","1","01OCT2002","31DEC9999","12030109"
"120145","Sandy Aisbitt","AU","1","01JUN1981","31DEC9999","12030109"
"120146","Wendall Cederlund","AU","1","01AUG1976","30SEP2001","12030109"
"120147","Skev Rusli","AU","1","01OCT2002","31DEC9999","12030109"
"120148","Michael Zubak","AU","1","01JUN1974","31DEC9999","12030109"
"120149","Judy Chantharasy","AU","1","01JAN1989","31DEC9999","12030109"
"120150","John Filo","AU","1","01AUG1978","30APR2000","12030109"
"120151","Julianna Phaiyakounh","AU","1","01JAN1970","31DEC9999","12030109"
"120152","Sean Dives","AU","1","01APR2001","31DEC9999","12030108"
"120153","Samantha Waal","AU","1","01JAN1994","31JAN2002","12030108"
"120154","Caterina Hayawardhana","AU","1","01JAN1970","31DEC9999","12030108"
"120155","Narelle James","AU","1","01APR2002","31DEC9999","12030108"
"120156","Gerry Snellings","AU","1","01MAR2002","31DEC9999","12030108"
"120157","Leonid Karavdic","AU","1","01DEC2002","31DEC9999","12030108"
"120158","Daniel Pilgrim","AU","1","01JUL1983","31AUG2001","12030108"
"120159","Lynelle Phoumirath","AU","1","01JUL1982","31DEC9999","12030108"
"120160","Chuck Segrave","AU","1","01OCT1970","31DEC9999","12030108"
"120161","Rosette Martines","AU","1","01OCT2002","31DEC9999","12030111"
"120162","Randal Scordia","AU","1","01FEB2002","31DEC9999","12030111"
"120163","Brett Magrath","AU","1","01JAN1987","31DEC9999","12030111"
"120164","Ranj Stamalis","AU","1","01FEB1978","31DEC9999","12030111"
"120165","Tadashi Pretorius","AU","1","01MAR2002","31DEC9999","12030111"
"120166","Fadi Nowd","AU","1","01JAN1970","31AUG2002","12030111"
"120167","Kimiko Tilley","AU","1","01FEB1970","31MAR2002","12030111"
"120168","Selina Barcoe","AU","1","01NOV2002","31DEC9999","12030101"
"120169","Cos Tannous","AU","1","01MAY2002","31DEC9999","12030101"
"120170","Alban Kingston","AU","1","01OCT1988","31OCT2002","12030101"
"120171","Alena Moody","AU","1","01SEP2002","31DEC9999","12030101"
"120172","Edwin Comber","AU","1","01JAN1970","31DEC9999","12030101"
"120173","Hernani Osborn","AU","1","01JUN1973","31JUL2000","12030101"
"120174","Doungkamol Simms","AU","1","01JAN1970","30OCT2001","12030101"
"120175","Andrew Conolly","AU","1","01OCT2002","31DEC9999","12030101"
"120176","Koavea Pa)","AU","1","01NOV2002","31DEC9999","12030105"
"120177","Franca Kierce","AU","1","01FEB1994","31DEC9999","12030105"
"120178","Billy Plested","AU","1","01APR1970","31DEC9999","12030105"
"120179","Matsuoka Wills","AU","1","01JAN2000","31AUG2000","12030105"
"120180","Vino George","AU","1","01DEC1974","31DEC9999","12030105"
"120181","Lorian Cantatore","AU","1","01DEC2002","31MAR2003","12030112"
"120182","Geok-Seng Barreto","AU","1","01DEC2002","31DEC2002","12030112"
"120183","Brig Blanton","AU","1","01DEC2002","31DEC2002","12030112"
"120184","Ari Moore","AU","1","01DEC2002","30APR2003","12030112"
"120185","Sharon Bahlman","AU","1","01DEC2002","31JAN2003","12030112"
"120186","Merryn Quinby","AU","1","01DEC2002","30JUN2003","12030112"
"120187","Reyne Catenacci","AU","1","01DEC2002","31MAY2003","12030112"
"120188","Shanmuganathan Baran","AU","1","01DEC2002","31DEC2002","12030112"
"120189","Mihailo Lachlan","AU","1","01DEC2002","31MAR2003","12030112"
"120190","Ivor Czernezkyi","AU","1","01NOV2000","30APR2001","12030113"
"120191","Jannene Graham-Rowe","AU","1","01JAN1999","30JUN1999","12030113"
"120192","Anthony Nichollas","AU","1","01JUN2001","30NOV2001","12030113"
"120193","Russell Streit","AU","1","01SEP2001","28FEB2002","12030113"
"120194","Reece Harwood","AU","1","01FEB2001","31JUL2001","12030113"
"120195","Jina Fiocca","AU","1","01JUL2002","31DEC2002","12030113"
"120196","Merle Hieds","AU","1","01JAN1999","30JUN1999","12030113"
"120197","Kerrin Dillin","AU","1","01JAN1999","30JUN1999","12030113"
"120198","Meera Body","AU","1","01DEC2002","31DEC9999","12030103"
"120199","Sandra Van Dorst","BE","1","01JAN1999","31DEC9999","13010101"
"120200","Eddy Alvaro","BE","1","01JAN1999","31DEC9999","13010101"
"120201","Jean-Pierre Lemahieu","BE","1","01JAN1999","31DEC9999","13010102"
"120202","Marie-Hélène Verboomen","BE","1","01JAN1999","31DEC9999","13010201"
"120203","Blanche Molenaar","BE","1","01JAN1999","31DEC9999","13010201"
"120204","Joel Geers","BE","1","01NOV2002","31DEC9999","13010301"
"120205","Kas Jagannathan","BE","1","01JAN1999","31DEC9999","13010301"
"120206","Rein Claerbout","BE","1","01JAN1999","31DEC9999","13010301"
"120207","Jacky Rahier","BE","1","01JAN1999","31DEC9999","13010401"
"120208","Gilbert Croufer","BE","1","01JAN1999","31DEC9999","13010401"
"120209","Elfriede Depienne","BE","1","01JAN1999","31DEC9999","13010401"
"120210","Nelly Baes","BE","1","01JAN1999","31DEC9999","13020101"
"120211","Johan Sarrand","BE","1","01JAN1999","31DEC9999","13020102"
"120212","Judd Masson","BE","1","01JAN1999","31AUG2002","13030111"
"120213","Adrian de Pelsemaecker","BE","1","01JAN1999","31DEC9999","13030111"
"120214","Anne-Mie Nelles","BE","1","01OCT2002","31DEC9999","13030111"
"120215","Anne-Laure Arnotte","BE","1","01JAN1999","30NOV2002","13030104"
"120216","Justo Fabry","BE","1","01JAN1999","31DEC9999","13030104"
"120217","Raffaele Staessen","BE","1","01JAN1999","31DEC9999","13030104"
"120218","Martine Steverlinck","BE","1","01APR2002","31DEC9999","13030105"
"120219","Karel de Streel","BE","1","01JAN1999","31DEC9999","13030105"
"120220","Mark Henri Van Grimbergen","BE","1","01JAN1999","31DEC9999","13030102"
"120221","Denise Deguent","BE","1","01JAN1999","31DEC9999","13030102"
"120222","Olivier Bolsens","BE","1","01JAN1999","31DEC9999","13030102"
"120223","Vincent Dumalin","BE","1","01MAY2002","31DEC9999","13030102"
"120224","Elsy Ernoux","BE","1","01JAN1999","30APR2000","13030102"
"120225","Maddy Chardome","BE","1","01JAN2003","31DEC9999","13030102"
"120226","Wambuna Menten","BE","1","01NOV2002","31DEC9999","13030108"
"120227","Marie Pascale Baffioni","BE","1","01FEB2002","31DEC9999","13030107"
"120228","Rigo Dossantos","BE","1","01JAN1999","30APR2000","13030107"
